ts_utc,ts_et,action,detail,trading_day,rebalance_day,signal_month,ranked,skipped,target_weights,momentum,trend_ok,equity,cash,buying_power,positions_before,orders,fills,data_feed,notes
2026-08-20T14:29:31Z,2026-08-20 10:29:31 EDT,ERROR,"APIError: {""message"": ""unauthorized.""}
",False,False,,,,{},,,0.00,0.00,,{},[],,,
2026-08-20T14:33:58Z,2026-08-20 10:33:58 EDT,ERROR,"APIError: {""message"": ""unauthorized.""}
",False,False,,,,{},,,0.00,0.00,,{},[],,,
2026-08-20T14:39:56Z,2026-08-20 10:39:56 EDT,ERROR,"APIError: {""message"": ""unauthorized.""}
",False,False,,,,{},,,0.00,0.00,,{},[],,,
2026-08-20T14:48:15Z,2026-08-20 10:48:15 EDT,SKIPPED,"cold start: no rebalance on record and today is not the first trading day of the month (that was 2026-08-03); dispatch the workflow with force_rebalance to enter now, or wait for next month's first trading day; holding 0 position(s)",True,False,,,,{},,,100000.00,100000.00,,{},[],,,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars"
2026-08-20T15:36:44Z,2026-08-20 11:36:44 EDT,SKIPPED,"cold start: no rebalance on record and today is not the first trading day of the month (that was 2026-08-03); dispatch the workflow with force_rebalance to enter now, or wait for next month's first trading day; holding 0 position(s)",True,False,,,,{},,,100000.00,100000.00,,{},[],,,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars"
2026-08-21T15:36:19Z,2026-08-21 11:36:19 EDT,SKIPPED,"cold start: no rebalance on record and today is not the first trading day of the month (that was 2026-08-03); dispatch the workflow with force_rebalance to enter now, or wait for next month's first trading day; holding 0 position(s)",True,False,,,,{},,,100000.00,100000.00,,{},[],,,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars"
2026-08-24T15:41:43Z,2026-08-24 11:41:43 EDT,SKIPPED,"cold start: no rebalance on record and today is not the first trading day of the month (that was 2026-08-03); dispatch the workflow with force_rebalance to enter now, or wait for next month's first trading day; holding 0 position(s)",True,False,,,,{},,,100000.00,100000.00,,{},[],,,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars"
2026-08-25T15:44:55Z,2026-08-25 11:44:55 EDT,SKIPPED,"cold start: no rebalance on record and today is not the first trading day of the month (that was 2026-08-03); dispatch the workflow with force_rebalance to enter now, or wait for next month's first trading day; holding 0 position(s)",True,False,,,,{},,,100000.00,100000.00,,{},[],,,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars"
2026-08-26T14:42:01Z,2026-08-26 10:42:01 EDT,REBALANCED,3 order(s) submitted as CLS,True,True,2026-07,XLE XLK XLV,,"{""XLE"": 0.333333, ""XLK"": 0.333333, ""XLV"": 0.333333}","{""XLB"": 0.170613, ""XLE"": 0.408134, ""XLF"": 0.10413, ""XLI"": 0.198294, ""XLK"": 0.341827, ""XLP"": 0.095582, ""XLU"": 0.064315, ""XLV"": 0.26804, ""XLY"": 0.056709}","{""XLB"": true, ""XLE"": true, ""XLF"": true, ""XLI"": true, ""XLK"": true, ""XLP"": true, ""XLU"": false, ""XLV"": true, ""XLY"": false}",100000.00,100000.00,,{},"[{""symbol"": ""XLE"", ""side"": ""buy"", ""qty"": 531, ""have"": 0, ""want"": 531, ""status"": ""pending_new"", ""tif"": ""cls"", ""client_order_id"": ""faber-2026-08-26-XLE-buy"", ""order_id"": ""71476dcc-c1e6-451d-ac0b-cd87bcefea48""}, {""symbol"": ""XLK"", ""side"": ""buy"", ""qty"": 182, ""have"": 0, ""want"": 182, ""status"": ""pending_new"", ""tif"": ""cls"", ""client_order_id"": ""faber-2026-08-26-XLK-buy"", ""order_id"": ""56e167f6-53da-4c0f-b1e8-27c9d6ba26b4""}, {""symbol"": ""XLV"", ""side"": ""buy"", ""qty"": 190, ""have"": 0, ""want"": 190, ""status"": ""pending_new"", ""tif"": ""cls"", ""client_order_id"": ""faber-2026-08-26-XLV-buy"", ""order_id"": ""211318a7-1e28-48b8-8af1-1d316e3a2102""}]",,sip,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars | rebalance due: forced by workflow input"
2026-08-26T16:20:03Z,2026-08-26 12:20:03 EDT,HELD,the 2026-07 signal was already traded on 2026-08-26; holding 0 position(s),True,False,2026-07,XLE XLK XLV,,"{""XLE"": 0.333333, ""XLK"": 0.333333, ""XLV"": 0.333333}","{""XLB"": 0.170613, ""XLE"": 0.408134, ""XLF"": 0.10413, ""XLI"": 0.198294, ""XLK"": 0.341827, ""XLP"": 0.095582, ""XLU"": 0.064315, ""XLV"": 0.26804, ""XLY"": 0.056709}","{""XLB"": true, ""XLE"": true, ""XLF"": true, ""XLI"": true, ""XLK"": true, ""XLP"": true, ""XLU"": false, ""XLV"": true, ""XLY"": false}",100000.00,100000.00,,{},[],,sip,"auth shape: key id 26 chars, PK-prefixed: True; secret 44 chars | 3/3 order(s) from 2026-08-26 are not filled: XLE new, XLK new, XLV new"
