signal_month,hold_month,ranked,skipped,n_skipped
2006-12,2007-01,"['XLU', 'XLF', 'XLY']",[],0
2007-01,2007-02,"['XLY', 'XLF', 'XLU']",[],0
2007-02,2007-03,"['XLB', 'XLU', 'XLY']",[],0
2007-03,2007-04,"['XLU', 'XLB', 'XLP']",[],0
2007-04,2007-05,"['XLU', 'XLV', 'XLB']",[],0
2007-05,2007-06,"['XLU', 'XLB', 'XLK']",[],0
2007-06,2007-07,"['XLB', 'XLK', 'XLU']",[],0
2007-07,2007-08,"['XLB', 'XLK', 'XLI']",[],0
2007-08,2007-09,"['XLE', 'XLB', 'XLI']",[],0
2007-09,2007-10,"['XLE', 'XLB', 'XLI']",[],0
2007-10,2007-11,"['XLE', 'XLB', 'XLK']",[],0
2007-11,2007-12,"['XLE', 'XLB', 'XLU']",[],0
2007-12,2008-01,"['XLE', 'XLB', 'XLU']",[],0
2008-01,2008-02,"['XLE', 'XLB', 'XLU']","['XLE', 'XLB', 'XLU']",3
2008-02,2008-03,"['XLE', 'XLB', 'XLP']",['XLP'],1
2008-03,2008-04,"['XLE', 'XLB', 'XLI']","['XLB', 'XLI']",2
2008-04,2008-05,"['XLE', 'XLB', 'XLI']",['XLI'],1
2008-05,2008-06,"['XLE', 'XLB', 'XLP']",[],0
2008-06,2008-07,"['XLE', 'XLU', 'XLB']",[],0
2008-07,2008-08,"['XLE', 'XLP', 'XLB']","['XLE', 'XLP', 'XLB']",3
2008-08,2008-09,"['XLE', 'XLP', 'XLB']","['XLE', 'XLB']",2
2008-09,2008-10,"['XLP', 'XLV', 'XLU']","['XLV', 'XLU']",2
2008-10,2008-11,"['XLP', 'XLV', 'XLU']","['XLP', 'XLV', 'XLU']",3
2008-11,2008-12,"['XLP', 'XLU', 'XLV']","['XLP', 'XLU', 'XLV']",3
2008-12,2009-01,"['XLP', 'XLV', 'XLU']","['XLP', 'XLV', 'XLU']",3
2009-01,2009-02,"['XLP', 'XLV', 'XLU']","['XLP', 'XLV', 'XLU']",3
2009-02,2009-03,"['XLP', 'XLV', 'XLU']","['XLP', 'XLV', 'XLU']",3
2009-03,2009-04,"['XLV', 'XLP', 'XLK']","['XLV', 'XLP', 'XLK']",3
2009-04,2009-05,"['XLP', 'XLV', 'XLY']","['XLP', 'XLV']",2
2009-05,2009-06,"['XLP', 'XLV', 'XLY']","['XLP', 'XLV']",2
2009-06,2009-07,"['XLP', 'XLV', 'XLY']",[],0
2009-07,2009-08,"['XLP', 'XLY', 'XLK']",[],0
2009-08,2009-09,"['XLP', 'XLV', 'XLK']",[],0
2009-09,2009-10,"['XLK', 'XLY', 'XLV']",[],0
2009-10,2009-11,"['XLK', 'XLY', 'XLB']",[],0
2009-11,2009-12,"['XLK', 'XLB', 'XLY']",[],0
2009-12,2010-01,"['XLK', 'XLB', 'XLY']",[],0
2010-01,2010-02,"['XLF', 'XLY', 'XLB']",[],0
2010-02,2010-03,"['XLF', 'XLY', 'XLI']",[],0
2010-03,2010-04,"['XLF', 'XLI', 'XLY']",[],0
2010-04,2010-05,"['XLI', 'XLF', 'XLY']",[],0
2010-05,2010-06,"['XLY', 'XLI', 'XLK']",[],0
2010-06,2010-07,"['XLY', 'XLI', 'XLF']","['XLY', 'XLI', 'XLF']",3
2010-07,2010-08,"['XLI', 'XLY', 'XLF']",[],0
2010-08,2010-09,"['XLY', 'XLI', 'XLU']","['XLY', 'XLI']",2
2010-09,2010-10,"['XLY', 'XLI', 'XLP']",[],0
2010-10,2010-11,"['XLY', 'XLI', 'XLB']",[],0
2010-11,2010-12,"['XLY', 'XLI', 'XLE']",[],0
2010-12,2011-01,"['XLI', 'XLY', 'XLE']",[],0
2011-01,2011-02,"['XLE', 'XLI', 'XLB']",[],0
2011-02,2011-03,"['XLE', 'XLY', 'XLI']",[],0
2011-03,2011-04,"['XLE', 'XLI', 'XLB']",[],0
2011-04,2011-05,"['XLE', 'XLB', 'XLI']",[],0
2011-05,2011-06,"['XLE', 'XLB', 'XLI']",[],0
2011-06,2011-07,"['XLE', 'XLB', 'XLY']",[],0
2011-07,2011-08,"['XLE', 'XLY', 'XLB']",['XLB'],1
2011-08,2011-09,"['XLE', 'XLY', 'XLV']","['XLE', 'XLY']",2
2011-09,2011-10,"['XLU', 'XLP', 'XLV']","['XLP', 'XLV']",2
